id_district,district,country
1,Balaka,Malawi
2,Blantyre,Malawi
3,Chikwawa,Malawi
4,Chiradzulu,Malawi
5,Chitipa,Malawi
6,Dedza,Malawi
7,Dowa,Malawi
8,Karonga,Malawi
9,Kasungu,Malawi
10,Likoma,Malawi
11,Lilongwe,Malawi
12,Machinga,Malawi
13,Mangochi,Malawi
14,Mchinji,Malawi
15,Mulanje,Malawi
16,Mwanza,Malawi
17,Mzimba,Malawi
18,Neno,Malawi
19,Nkhata Bay,Malawi
20,Nkhotakota,Malawi
21,Nsanje,Malawi
22,Ntcheu,Malawi
23,Ntchisi,Malawi
24,Phalombe,Malawi
25,Rumphi,Malawi
26,Salima,Malawi
27,Thyolo,Malawi
28,Zomba,Malawi
